Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
11001,1.181752053,-0.178387308,0.715339594,0.157089448,-0.692638058,-0.327915384,-0.559721108,-0.003490517,1.593716334,-0.342726517,1.937676403,-2.127347604,1.125224892,1.7847948,-0.022898825,0.812613931,-0.038471915,0.841486719,0.006904096,-0.053176984,-0.029834146,0.055927536,-0.080612832,0.016478184,0.190598731,1.033265193,-0.102277591,-0.004942,39,Not_Fraud
11001,-0.537022921,0.723065217,1.532169318,-0.939214874,0.175149306,-0.410722466,0.313503894,-0.026096296,1.409949882,-0.949944834,-0.375180836,-2.952324311,1.742530347,1.277066135,-0.003563816,0.857578534,-0.257134918,0.539678244,-0.624046429,0.071086443,-0.052959507,0.151232885,-0.19106345,-0.444802648,-0.2930289,0.903417298,0.257524402,0.179779171,15.95,Not_Fraud
11001,-0.33900689,0.017453364,1.487669295,-0.579635901,0.202270361,-0.712857613,0.517636991,-0.282708843,1.555835311,-0.844315324,1.968273364,-1.28120424,1.869462491,1.009556239,-2.573961548,-0.225701449,0.298732414,0.030209694,-0.140376158,0.059649222,-0.008064644,0.452059941,0.178421887,0.569786033,-1.12303774,0.664948333,-0.064727453,-0.011790599,48.06,Not_Fraud
11002,1.30503704,-0.08331397,0.501800049,0.136335489,-0.497856643,-0.373568697,-0.512803154,-0.099689855,1.923631486,-0.493802947,-0.25516888,-3.099746058,1.080852902,1.595001492,0.735573426,0.772315107,0.037989815,0.53450211,-0.081116048,-0.108372881,-0.13158165,-0.156092565,-0.108479067,-0.449335529,0.290146157,1.085608109,-0.096176387,-0.00442307,15.95,Not_Fraud
11002,-2.103931376,-0.38868687,1.335634171,-0.354817138,-0.013524816,-1.407044895,-0.288710227,0.354492645,1.464267443,-0.996842649,0.109443035,-2.951016084,0.881920497,1.753483862,0.082982706,0.825515667,0.225506068,0.437606599,-0.844319321,-0.287998738,-0.028615911,0.304170546,0.905963908,0.345810053,-0.18499411,0.884356808,0.148958028,0.001091598,39,Not_Fraud
11002,1.210117702,-0.071282644,1.069372983,0.461381499,-1.199534013,-1.167954944,-0.510895938,-0.16545924,1.887905696,-0.48406551,0.905848091,-2.851434844,0.456528973,1.753451373,0.677301613,0.390269168,0.558424029,0.134003614,-0.595049483,-0.179447614,-0.0464405,0.065528592,0.066527436,0.913523292,0.094510748,1.001963073,-0.096700189,0.008484941,14.95,Not_Fraud
11002,1.143713725,-0.224060871,0.920815074,0.28998405,-1.025489123,-0.651819719,-0.6044493,0.009419282,1.68244376,-0.319226625,2.272133214,-2.391533425,0.205547595,1.981180703,0.028923144,0.696368665,0.201998996,0.769476857,-0.187854003,-0.123361093,-0.004389426,0.086121524,-0.004983737,0.526211401,0.09169255,1.003072657,-0.106984462,-0.001326706,39,Not_Fraud
11003,1.208271889,-0.039324473,1.08176203,0.459855984,-1.162843785,-1.164547251,-0.475740866,-0.194988472,1.814886596,-0.498565501,0.98945024,-2.593630653,0.938655755,1.657988965,0.623583043,0.366937772,0.531726381,0.073980695,-0.599257406,-0.147100081,-0.040107235,0.105776485,0.059322573,0.914065205,0.109976112,1.000807148,-0.093640816,0.009575594,15.95,Not_Fraud
11003,-0.394310946,0.692225249,1.849093253,-0.253433421,0.062472221,0.209092,0.073506622,0.073489008,0.749854061,-0.682404855,1.527778754,-2.240240929,1.995834503,1.541096893,0.098141554,0.537132959,0.013449973,1.165535159,1.055853594,0.143682931,0.021062064,0.278319123,-0.292253821,-0.471723138,-0.172220157,1.14430553,0.001980539,0.076099176,15.95,Not_Fraud
11003,-0.595242569,0.797446485,1.896566704,-0.750239129,-0.167300721,-0.871095703,0.380093701,-0.12037695,1.243922478,-0.972280229,0.493552128,-2.294667699,2.315337493,1.18403584,-0.143441456,0.580566653,0.005052219,0.179305128,-0.943315933,0.090114969,0.010154962,0.363739368,-0.096569623,0.410383541,-0.380036105,0.849276224,0.263317519,0.189783162,15.95,Not_Fraud
